L_Elbow,R_Elbow,L_Shoulder,R_Shoulder,L_Wrist,R_Wrist,L_Hip,R_Hip,L_Knee,R_Knee,L_Ankle,R_Ankle,Spine
124.0,177.0,73.0,14.0,163.0,148.0,90.0,138.0,129.0,116.0,153.0,153.0,175.0
124.0,177.0,73.0,14.0,163.0,148.0,169.0,100.0,162.0,109.0,148.0,162.0,172.0
124.0,177.0,73.0,14.0,163.0,148.0,95.0,176.0,106.0,167.0,129.0,139.0,172.0
124.0,177.0,73.0,14.0,163.0,148.0,120.0,176.0,135.0,174.0,135.0,137.0,165.0
124.0,177.0,73.0,14.0,163.0,148.0,153.0,165.0,163.0,158.0,74.0,115.0,159.0
124.0,177.0,73.0,14.0,163.0,148.0,87.0,140.0,91.0,137.0,121.0,157.0,161.0
124.0,177.0,73.0,14.0,163.0,148.0,112.0,136.0,115.0,135.0,114.0,157.0,156.0
124.0,177.0,73.0,14.0,163.0,148.0,103.0,128.0,110.0,125.0,139.0,157.0,152.0
124.0,177.0,73.0,14.0,163.0,148.0,127.0,128.0,137.0,125.0,150.0,157.0,153.0
124.0,177.0,73.0,14.0,163.0,148.0,145.0,128.0,164.0,125.0,123.0,157.0,156.0
124.0,177.0,73.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,152.0,157.0,148.0
124.0,177.0,73.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,150.0
124.0,177.0,73.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,146.0
124.0,177.0,73.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,151.0
124.0,177.0,73.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,148.0
124.0,177.0,73.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,148.0
124.0,177.0,73.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,152.0
124.0,177.0,73.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,152.0
124.0,177.0,73.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,153.0
124.0,177.0,52.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,139.0
124.0,177.0,55.0,14.0,163.0,148.0,171.0,128.0,176.0,125.0,167.0,157.0,144.0
124.0,177.0,58.0,14.0,163.0,148.0,150.0,142.0,141.0,144.0,167.0,157.0,147.0
124.0,177.0,58.0,14.0,163.0,148.0,149.0,141.0,139.0,142.0,167.0,157.0,149.0
124.0,177.0,57.0,14.0,163.0,148.0,141.0,145.0,139.0,144.0,167.0,157.0,147.0
114.0,177.0,50.0,14.0,163.0,148.0,149.0,146.0,139.0,144.0,167.0,157.0,135.0
116.0,177.0,49.0,14.0,163.0,148.0,167.0,142.0,139.0,144.0,167.0,157.0,140.0
120.0,177.0,53.0,14.0,138.0,148.0,155.0,138.0,139.0,144.0,167.0,157.0,146.0
127.0,177.0,51.0,14.0,132.0,148.0,155.0,147.0,139.0,144.0,167.0,157.0,145.0
142.0,177.0,42.0,14.0,130.0,148.0,170.0,152.0,139.0,144.0,167.0,157.0,149.0
148.0,177.0,40.0,14.0,147.0,148.0,173.0,147.0,139.0,144.0,167.0,157.0,137.0
154.0,177.0,40.0,14.0,135.0,148.0,176.0,132.0,139.0,144.0,167.0,157.0,133.0
154.0,177.0,43.0,14.0,132.0,148.0,81.0,102.0,139.0,144.0,167.0,157.0,133.0
143.0,177.0,57.0,14.0,151.0,148.0,107.0,107.0,102.0,144.0,167.0,157.0,140.0
149.0,177.0,57.0,14.0,159.0,148.0,95.0,87.0,94.0,144.0,167.0,157.0,141.0
155.0,177.0,51.0,14.0,160.0,148.0,173.0,140.0,178.0,144.0,167.0,157.0,131.0
150.0,177.0,57.0,14.0,148.0,148.0,156.0,177.0,178.0,144.0,167.0,157.0,22.0
158.0,177.0,50.0,14.0,151.0,148.0,163.0,171.0,178.0,144.0,167.0,157.0,55.0
175.0,177.0,38.0,14.0,153.0,148.0,168.0,170.0,178.0,144.0,167.0,157.0,92.0
179.0,177.0,32.0,14.0,153.0,148.0,168.0,163.0,178.0,144.0,167.0,157.0,97.0
179.0,177.0,38.0,14.0,153.0,148.0,167.0,178.0,178.0,144.0,167.0,157.0,71.0
174.0,177.0,38.0,14.0,153.0,148.0,135.0,164.0,178.0,144.0,167.0,157.0,171.0
177.0,177.0,42.0,14.0,179.0,148.0,150.0,164.0,178.0,144.0,167.0,157.0,173.0
177.0,177.0,40.0,14.0,177.0,148.0,149.0,164.0,178.0,144.0,167.0,157.0,172.0
41.0,177.0,34.0,14.0,177.0,148.0,149.0,164.0,178.0,144.0,167.0,157.0,146.0
15.0,177.0,52.0,14.0,177.0,148.0,149.0,164.0,178.0,144.0,167.0,157.0,172.0
15.0,177.0,47.0,14.0,177.0,148.0,149.0,164.0,178.0,144.0,167.0,157.0,166.0
15.0,177.0,38.0,14.0,177.0,148.0,149.0,164.0,178.0,144.0,167.0,157.0,175.0
15.0,177.0,30.0,14.0,177.0,148.0,149.0,164.0,178.0,144.0,167.0,157.0,169.0
15.0,177.0,57.0,14.0,177.0,148.0,149.0,164.0,178.0,144.0,167.0,157.0,125.0
15.0,177.0,62.0,14.0,177.0,148.0,149.0,164.0,178.0,144.0,167.0,157.0,60.0
15.0,177.0,62.0,73.0,177.0,148.0,149.0,164.0,178.0,144.0,167.0,157.0,59.0
